,track_name,ひらがな名,image_urls,view_count,喜び,喜びスコアの理由,信頼,信頼スコアの理由,恐れ,恐れスコアの理由,驚き,驚きスコアの理由,悲しみ,悲しみスコアの理由,嫌悪,嫌悪スコアの理由,怒り,怒りスコアの理由,期待,期待スコアの理由,release_date_y
0,I'm feeling blue,あいむふぃーりんぐぶるー,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/PCDA01085_240.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5cf736168c985.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca042149afa.jpg']""]",108616,30,歌詞には愛情や思いが込められているが、実際に喜びを感じる場面は少なく、むしろ切ない感情が強調されている。,40,相手への強い思いがあるが、実際に信頼が築かれているというよりは、信頼を求めている状態が描かれている。,50,サヨナラの言葉が来ることへの恐れや、気持ちを伝えられないことへの不安が表現されている。,20,驚きの要素は少なく、むしろ予想される別れや孤独感が中心となっている。,80,孤独感や伝えられない気持ち、切ない思いが強く表現されており、全体的に悲しみが支配的である。,10,嫌悪感はほとんどなく、むしろ相手への愛情が強調されている。,20,怒りというよりは、もどかしさや焦りが感じられるが、怒り自体はあまり表現されていない。,60,相手に気持ちを伝えたいという強い期待や願望が表現されており、未来への希望が感じられる。,1998/7/17
1,あした,あした,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/PCDA01085_240.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16ced9.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16d0e0.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9d9a2a5831.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5cf736168c985.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca042149afa.jpg']""]",224997,70,歌詞には愛情や幸せを感じる表現が多く、特に『あなたと眠る夢を見続けてたい』というフレーズが喜びを強調しています。,80,『手をつなげばそれでいい』や『あなたは大切だから』といったフレーズが、深い信頼関係を示しています。,30,『もしも罪を犯し 世界中敵にまわしても』という部分に、潜在的な恐れが感じられますが、全体的には恐れの感情は少ないです。,40,『夜明けのまぶしさを待って』や『燃える赤い花を咲かせて』など、驚きや新鮮さを感じる表現があります。,50,『あなたが泣いてたら あたしも笑えないんだ』や『傷を負ったならば』といったフレーズが悲しみを表現しています。,20,嫌悪を直接的に示す表現は少なく、全体的にポジティブな感情が多いです。,25,『世界中敵にまわしても』という部分に、少しの怒りや反抗心が感じられますが、全体的には少ないです。,75,『夜明けのまぶしさを待って』や『この真実が幸せを運ぶ』といったフレーズが、未来への期待感を強く表現しています。,1998/7/17
2,ナキ・ムシ,なき・むし,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/PCCA01286_240.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16ced9.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16d0e0.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9d9a2a5831.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29056d4491.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fcf71aa09e91.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5cf736168c985.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fca042149afa.jpg']""]",217395,70,歌詞には愛情や喜びを感じる表現が多く含まれており、特に『あなたを愛しいと思う喜び』というフレーズがその感情を強調しています。,60,『ありのままの気持ちを誓え』という表現から、相手に対する信頼感が感じられますが、全体的に不安や心配も含まれているため、スコアは中程度です。,40,『ゴメンだよって言われたってもう怖くない』というフレーズから、恐れを克服しようとしている様子が見られますが、完全に恐れがないわけではありません。,30,驚きに関する直接的な表現は少ないですが、『ゆるい目眩おそう』という部分に少し驚きのニュアンスが含まれています。,50,『泣き虫だし』や『心苦しい夜』といった表現から、悲しみや孤独感が感じられますが、全体的には愛情がそれを和らげています。,20,嫌悪感を示す直接的な表現はほとんどなく、全体的にポジティブな感情が優勢です。,10,怒りを示す表現はほとんどなく、歌詞のトーンは穏やかで愛情に満ちています。,65,『少し近くにゆきたい』や『思いきり抱きしめてみたい』といった表現から、未来への期待感が感じられます。,1999/3/3
3,赤い靴,あかいくつ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/PCCA01286_240.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16ced9.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16d0e0.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9d9a2a5831.jpg']""]",88184,20,歌詞には一部で愛情や好きだったことを認識する部分があるが、全体的にはネガティブな感情が強い。,10,歌詞の中で嘘や別れが語られており、信頼感は低い。,70,『あなたの散歩がひどく恐い』や『突然やってくる雷のよう』といった表現が恐れを示している。,50,『突然やってくる雷のよう』や『最期に落ちて来る太陽のよう』といった予期しない出来事が驚きを表している。,80,別れや嘘、後悔といったテーマが歌詞全体にわたっており、悲しみが強く表現されている。,60,『悲しくけだるい魔法』や『無防備な』といった表現が嫌悪感を示している。,40,直接的な怒りの表現は少ないが、嘘や別れに対する不満が感じられる。,30,『全てあなたのためだった事を知って』といった部分に期待感があるが、全体的には低い。,1999/3/3
4,二時頃,にじごろ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/PCCA01286_240.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa291b8b883e.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa291b8b8a24.jpg']""]",300913,70,歌詞には恋愛の幸せや、相手の声を聞くだけで幸せを感じるといったポジティブな感情が表現されているため。,60,相手に対する信頼感が感じられるが、同時に不安や疑念も含まれているため、完全な信頼とは言えない。,50,相手の気持ちがわからないことや、別の女性の存在を知ったことによる不安が表現されているため。,40,相手に対する新しい発見や、知らなかった事実に対する驚きが含まれているが、全体的には控えめ。,65,相手の気持ちがわからないことや、別れを準備しなければならないという悲しみが強く表現されているため。,30,嫌悪感はあまり強くないが、嘘をつかれたことや、他の女性の存在に対する軽い嫌悪が含まれている。,20,怒りの感情はあまり強く表現されておらず、主に悲しみや不安が中心となっているため。,55,相手に対する期待や、再会を待ち望む気持ちが表現されているが、同時に不安も伴っているため。,1999/3/3
5,ボブ,ぼぶ,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16ced9.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16d0e0.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9d9a2a5831.jpg']""]",90685,40,歌詞には微笑んで考える場面や、褒められたら嬉しいという感情が表現されていますが、全体的に喜びの感情は控えめです。,30,歌詞には特定の人物に対する思いがあり、その人のおかげで穏やかになれたという部分がありますが、信頼感が強く表現されているわけではありません。,20,恐れの感情はあまり表現されていませんが、勇気がないという部分に少しだけ恐れが含まれている可能性があります。,10,驚きの感情はほとんど表現されていません。歌詞全体が穏やかなトーンで進行しています。,50,誰も好きになれないという部分や、特定の人物を思い続けていることから、悲しみの感情が比較的強く表現されています。,10,嫌悪の感情はほとんど表現されていません。歌詞は特定の人物に対する思いを中心にしています。,20,怒りの感情はあまり表現されていませんが、特定の人物のせいで誰も好きになれないという部分に少しだけ怒りが含まれている可能性があります。,30,歌詞にはこの歌が届いてほしい、褒めてほしいという期待が表現されていますが、全体的に期待の感情は控えめです。,1999/4/21
6,夏にマフラー,なつにまふらー,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16ced9.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16d0e0.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9d9a2a5831.jpg']""]",76201,85,歌詞には愛情や幸福感が溢れており、特に『こんなに好きで』や『日射しの雨きれいだ』といった表現が喜びを強く感じさせます。,80,『あたしだけを映してくれる』や『包んでくれる優しさ』といったフレーズから、相手への信頼感が伝わります。,10,歌詞全体に恐れの要素はほとんどなく、むしろ安心感が強調されています。,40,『夏、日射しの雨きれいだ』や『雨つぶのにおいくすぐった』など、自然の美しさに対する驚きが感じられます。,20,『涙が出るよこんなに好きで』という部分に少し悲しみが含まれていますが、全体的にはポジティブな感情が優勢です。,5,歌詞には嫌悪感を示す要素はほとんどありません。,5,怒りを示す表現はなく、むしろ穏やかで愛情に満ちた内容です。,70,『どこにいても誰といても』というフレーズから、未来に対する期待感や希望が感じられます。,1999/4/21
7,ジェット,じぇっと,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16ced9.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16d0e0.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9d9a2a5831.jpg']"", ""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa29056d4491.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fcf71aa09e91.jpg']""]",113180,85,歌詞にはポジティブな表現が多く、未来への希望や楽しさが感じられるため。,80,歌詞中での「君と僕」や「手をつないで」などの表現から、信頼関係が強調されている。,10,恐れを感じさせる要素はほとんどなく、むしろ前向きな姿勢が強調されている。,30,「黄色い空」や「雲の上」など、非日常的なイメージが驚きを与える可能性がある。,5,歌詞全体が明るく、悲しみを感じさせる要素はほとんどない。,5,嫌悪を感じさせる表現はなく、全体的にポジティブな内容である。,5,怒りを示す表現はなく、むしろ楽しさや希望が強調されている。,90,「きっと飛べると思うんだ」など、未来への期待や希望が強く表現されている。,1999/4/21
8,恋堕ちる時,こいおちるとき,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16ced9.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16d0e0.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9d9a2a5831.jpg']""]",92114,30,歌詞には恋愛の瞬間や優しさが描かれているが、全体的に悲しみや切なさが強調されているため、喜びのスコアは低め。,40,歌詞には愛や優しさを求める気持ちがあり、信頼の要素も感じられるが、確信的な信頼感は薄い。,50,歌詞には溺れるや不安定な感情が表現されており、恐れの感情が含まれている。,20,歌詞には驚きの要素はあまりなく、感情の変化が緩やかであるため、スコアは低い。,80,歌詞全体にわたって涙や悲しみが強調されており、悲しみの感情が非常に強い。,10,歌詞には嫌悪感を示す表現はほとんどなく、スコアは低い。,15,歌詞には怒りの感情はほとんど見られず、スコアは低い。,35,歌詞には愛や優しさを求める期待感があるが、全体的に悲しみが強いため、期待のスコアは中程度。,1999/4/21
9,イジワルな天使よ 世界を笑え!,いじわるなてんしよせかいをわらえ!,"[""['https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16ced9.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fa39fd16d0e0.jpg', 'https://eeda1c4f65b5089c25d2a7de4a6e227a.cdnext.stream.ne.jp/img/disco/5fc9d9a2a5831.jpg']""]",77314,85,歌詞には『笑え』や『好きになりたい』といったポジティブな表現が多く、全体的に明るく前向きな感情が強調されています。,70,『もっとしっかりあたしの事つかまえて』というフレーズから、相手に対する信頼や期待が感じられます。,20,『明日世界が終わっても』という表現には一抹の不安が含まれていますが、全体的には恐れよりも前向きな感情が強いです。,30,『明日世界が終わっても』という非日常的な状況を想定しているため、多少の驚きが含まれています。,15,『絶対泣かないように』という表現から、悲しみを避けたいという意図が感じられますが、全体的には悲しみは少ないです。,10,『ケンカ』『イジワル』といったネガティブな要素もありますが、それを乗り越えようとする意志が強く、嫌悪感は低いです。,5,歌詞全体に怒りを示す表現はほとんどなく、ポジティブな感情が優勢です。,80,『もっと好きになりたい』や『後悔しないように』といった未来への期待や希望が強く表現されています。,1999/4/21
